qseqid,sseqid,log2FoldChange,lfcSE,padj,description,external_gene_name
104421732,AT5G04660,-1.388208024,0.264020148,3.19E-06,"cytochrome P450, family 77, subfamily A, polypeptide 4 [Source:NCBI gene (formerly Entrezgene);Acc:830343]",CYP77A4
104421741,AT3G57810,1.104679757,0.20599363,1.93E-06,Cysteine proteinases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:824950],AT3G57810
104421753,AT2G36690,2.603384251,0.508851958,6.27E-06,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818241],AT2G36690
104421767,AT3G54870,-1.373624137,0.227280599,5.33E-08,Armadillo/beta-catenin repeat family protein / kinesin motor family protein [Source:NCBI gene (formerly Entrezgene);Acc:824652],MRH2
104421769,AT3G07510,-1.226509716,0.345817835,0.003059424,maternal effect embryo arrest protein [Source:NCBI gene (formerly Entrezgene);Acc:819939],AT3G07510
104421786,AT5G03250,-1.604884276,0.320550729,1.04E-05,Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:831894],AT5G03250
104421791,AT2G37960,-2.53867811,0.468794065,1.49E-06,myosin-M heavy protein [Source:NCBI gene (formerly Entrezgene);Acc:818373],AT2G37960
104421828,AT5G18610,-1.048588078,0.210764874,1.21E-05,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831979],AT5G18610
104421832,AT5G07330,2.027369683,0.321288848,1.18E-08,NFU1 iron-sulfur cluster protein [Source:NCBI gene (formerly Entrezgene);Acc:830624],AT5G07330
104421852,AT3G18280,-1.307831375,0.234646612,6.71E-07,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821356],AT3G18280
104421862,AT5G45540,-1.307318111,0.34530977,0.001391298,"transmembrane protein, putative (DUF594) [Source:NCBI gene (formerly Entrezgene);Acc:834590]",AT5G45540
104421863,AT3G54400,-2.635969017,0.509033014,4.66E-06,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:824606],AT3G54400
104421864,AT5G13500,-1.158120333,0.246159609,3.98E-05,Hyp O-arabinosyltransferase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831194],AT5G13500
104421865,AT3G27890,-1.124932097,0.210580704,2.12E-06,NADPH:quinone oxidoreductase [Source:NCBI gene (formerly Entrezgene);Acc:822411],NQR
104421866,AT3G07960,-3.204074965,1.23633405,0.042372529,Phosphatidylinositol-4-phosphate 5-kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:819987],PIP5K6
104421869,AT1G72140,-1.491528715,0.341720051,0.0001633,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843545],AT1G72140
104421876,AT5G12380,-1.030530123,0.382054729,0.032960276,annexin 8 [Source:NCBI gene (formerly Entrezgene);Acc:831113],ANNAT8
104421893,AT1G15060,1.376558066,0.393892017,0.003601159,alpha/beta hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838071],AT1G15060
104421925,AT3G59550,-1.858689413,0.436936914,0.000253759,Rad21/Rec8-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:825124],SYN3
104421939,AT1G15080,-1.497697126,0.2715536,9.02E-07,lipid phosphate phosphatase 2 [Source:NCBI gene (formerly Entrezgene);Acc:838072],LPP2
104421943,AT3G63530,-2.277867023,0.416063887,1.10E-06,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825528],BB
104421945,AT3G52110,-1.698422213,0.26302708,4.97E-09,interferon-activable protein [Source:NCBI gene (formerly Entrezgene);Acc:824374],AT3G52110
104421948,AT3G08490,-1.719983513,0.235211549,2.16E-11,delta-latroinsectotoxin-Lt1a protein [Source:NCBI gene (formerly Entrezgene);Acc:819996],AT3G08490
104421949,AT3G08040,-1.737479431,0.361523394,2.56E-05,MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:819995],FRD3
104422020,AT3G29320,1.30620755,0.147138064,1.82E-16,"Glycosyl transferase, family 35 [Source:NCBI gene (formerly Entrezgene);Acc:822590]",PHS1
104422032,AT1G69230,-1.367021265,0.204079043,1.17E-09,SPIRAL1-like2 [Source:NCBI gene (formerly Entrezgene);Acc:843254],SP1L2
104422036,AT5G60920,1.609076951,0.50932056,0.009854766,COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family [Source:NCBI gene (formerly Entrezgene);Acc:836213],COB
104422037,AT5G15630,-1.877741343,0.246673657,2.81E-12,COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family [Source:NCBI gene (formerly Entrezgene);Acc:831417],IRX6
104422060,AT3G30530,-1.17916377,0.423543459,0.026656747,basic leucine-zipper 42 [Source:NCBI gene (formerly Entrezgene);Acc:822767],bZIP42
104422068,AT1G18090,-1.400125363,0.355752222,0.000828942,5'-3' exonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838389],AT1G18090
104422095,AT3G18070,-1.955174242,0.386414416,8.24E-06,beta glucosidase 43 [Source:NCBI gene (formerly Entrezgene);Acc:821332],BGLU43
104422109,AT5G38300,-1.841828186,0.281525837,3.00E-09,homeobox Hox-B3-like protein [Source:NCBI gene (formerly Entrezgene);Acc:833812],AT5G38300
104422110,AT1G67040,-1.094316796,0.238012858,6.28E-05,DnaA initiator-associating protein [Source:NCBI gene (formerly Entrezgene);Acc:843024],TRM22
104422113,AT3G02580,-1.038094029,0.158699571,3.02E-09,sterol 1 [Source:NCBI gene (formerly Entrezgene);Acc:820679],STE1
104422119,AT2G01210,-1.26747667,0.313397964,0.000559443,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:814649],AT2G01210
104422120,AT2G01210,-2.603503004,0.775049955,0.005492207,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:814649],AT2G01210
104422136,AT5G37790,-1.522488174,0.321512683,3.49E-05,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:833757],AT5G37790
104422159,AT3G18050,-1.512289938,0.242373129,1.76E-08,GPI-anchored protein [Source:NCBI gene (formerly Entrezgene);Acc:821330],AT3G18050
104422160,AT5G16720,-1.771235773,0.338401126,3.57E-06,"caldesmon-like protein (Protein of unknown function, DUF593) [Source:NCBI gene (formerly Entrezgene);Acc:831534]",AT5G16720
104422183,AT5G37540,1.136969496,0.326565396,0.003750715,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:833732],AT5G37540
104422190,AT1G66080,1.165354133,0.275985395,0.000285351,hikeshi-like protein [Source:NCBI gene (formerly Entrezgene);Acc:842922],AT1G66080
104422192,AT5G37478,-1.604413439,0.330328517,2.04E-05,TPX2 (targeting protein for Xklp2) protein family [Source:NCBI gene (formerly Entrezgene);Acc:2746163],AT5G37478
104422212,AT1G65710,-1.783247777,0.497487835,0.002719669,serine/arginine repetitive matrix-like protein [Source:NCBI gene (formerly Entrezgene);Acc:842882],AT1G65710
104422221,AT5G13870,-1.267917972,0.350149131,0.002412848,xyloglucan endotransglucosylase/hydrolase 5 [Source:NCBI gene (formerly Entrezgene);Acc:831233],XTH5
104422222,AT3G16560,1.298603464,0.298706425,0.000174693,Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:820905],AT3G16560
104422225,AT3G50160,-1.11195222,0.43920546,0.048386878,"transmembrane protein, putative (DUF247) [Source:NCBI gene (formerly Entrezgene);Acc:824178]",AT3G50160
104422231,AT3G26618,1.762685361,0.235142635,6.28E-12,eukaryotic release factor 1-3 [Source:NCBI gene (formerly Entrezgene);Acc:822273],ERF1-3
104422240,AT3G29010,1.309161834,0.220433586,9.47E-08,Biotin/lipoate A/B protein ligase family [Source:NCBI gene (formerly Entrezgene);Acc:822541],AT3G29010
104422241,AT3G50120,-2.222749796,0.722060446,0.012352725,"transmembrane protein, putative (DUF247) [Source:NCBI gene (formerly Entrezgene);Acc:824174]",AT3G50120
104422275,AT5G56510,-1.078184685,0.253109604,0.000247848,pumilio 12 [Source:NCBI gene (formerly Entrezgene);Acc:835752],PUM12
104422283,AT1G55340,-1.021677579,0.159122957,6.23E-09,,AT1G55340
104422299,AT1G55230,-1.060628103,0.283797276,0.001642457,"proteinase inhibitor I4, serpin (DUF716) [Source:NCBI gene (formerly Entrezgene);Acc:841966]",AT1G55230
104422306,AT1G07570,-1.473117996,0.425980134,0.004033048,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837271],APK1A
104422311,AT2G44130,-1.058792356,0.397299614,0.035545252,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819019],AT2G44130
104422318,AT4G08810,-1.207495298,0.22191913,1.31E-06,calcium ion binding protein [Source:NCBI gene (formerly Entrezgene);Acc:826452],SUB1
104422320,AT4G23160,-1.999461636,0.321688125,2.02E-08,cysteine-rich RECEPTOR-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:828415],CRK8
104422326,AT4G39230,-2.688746392,0.771281775,0.003701209,NmrA-like negative transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:830078],AT4G39230
104422330,AT1G10850,-1.423264321,0.356367533,0.000671079,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:3766694],AT1G10850
104422336,AT2G30395,-2.275338563,0.408433948,6.81E-07,ovate family protein 17 [Source:NCBI gene (formerly Entrezgene);Acc:817590],OFP17
104422373,AT5G58610,1.777817391,0.543453816,0.00713566,PHD finger transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:835975],AT5G58610
104422382,AT5G58530,-1.585419744,0.291609489,1.34E-06,Glutaredoxin family protein [Source:NCBI gene (formerly Entrezgene);Acc:835966],AT5G58530
104422425,AT5G59720,1.023734903,0.231168515,0.000126695,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422426,AT5G59720,1.437683574,0.486034154,0.017103274,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422427,AT2G29500,4.363490668,0.841029453,4.47E-06,HSP20-like chaperones superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817499],AT2G29500
104422428,AT2G29500,4.568795325,0.763556013,7.39E-08,HSP20-like chaperones superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817499],AT2G29500
104422431,AT5G59720,3.402238203,0.729047384,4.67E-05,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422433,AT2G29500,3.271296894,0.60025894,1.26E-06,HSP20-like chaperones superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817499],AT2G29500
104422434,AT5G59720,1.171750702,0.357561727,0.007025674,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422435,AT5G59590,7.630690817,1.178209365,4.47E-09,UDP-glucosyl transferase 76E2 [Source:NCBI gene (formerly Entrezgene);Acc:836078],UGT76E2
104422442,AT5G59720,3.00952901,0.543892822,8.25E-07,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422443,AT5G59720,2.183245579,0.450495673,2.13E-05,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422449,AT5G59720,1.934000599,0.546221277,0.003116875,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422452,AT5G59720,3.553941921,0.516965497,4.00E-10,heat shock protein 18.2 [Source:NCBI gene (formerly Entrezgene);Acc:836093],HSP18.2
104422462,AT1G07420,-1.268319661,0.224899687,4.76E-07,sterol 4-alpha-methyl-oxidase 2-1 [Source:NCBI gene (formerly Entrezgene);Acc:837254],SMO2-1
104422463,AT2G29380,1.564942037,0.387768833,0.000575848,highly ABA-induced PP2C protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:817487],HAI3
104422471,AT1G07440,3.137673456,0.931607215,0.005343605,NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837256],AT1G07440
104422490,AT2G28950,-1.811023564,0.412348446,0.000146538,expansin A6 [Source:NCBI gene (formerly Entrezgene);Acc:817444],EXPA6
104422497,AT5G65360,-2.27520029,0.308462055,1.43E-11,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836661],AT5G65360
104422499,AT5G02440,-2.145690532,0.284625244,4.72E-12,60S ribosomal protein L36 [Source:NCBI gene (formerly Entrezgene);Acc:831872],AT5G02440
104422505,AT5G59970,-1.255467566,0.321072385,0.000906589,Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836119],AT5G59970
104422516,AT4G01470,3.734051384,0.643179005,1.95E-07,tonoplast intrinsic protein 1;3 [Source:NCBI gene (formerly Entrezgene);Acc:828051],TIP1;3
104422527,AT1G07730,-3.480290469,1.069399327,0.007496092,Disease resistance-responsive (dirigent-like protein) family protein [Source:NCBI gene (formerly Entrezgene);Acc:2745746],AT1G07730
104422529,AT1G07730,-3.579619947,0.73925768,2.17E-05,Disease resistance-responsive (dirigent-like protein) family protein [Source:NCBI gene (formerly Entrezgene);Acc:2745746],AT1G07730
104422540,AT3G45780,-1.024005291,0.249558662,0.000449722,phototropin 1 [Source:NCBI gene (formerly Entrezgene);Acc:823721],PHOT1
104422556,AT5G15070,1.229662437,0.327208849,0.001528276,Phosphoglycerate mutase-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:831359],AT5G15070
104422563,AT5G40010,1.983439456,0.497681915,0.00069063,AAA-ATPase 1 [Source:NCBI gene (formerly Entrezgene);Acc:833998],AATP1
104422566,AT5G40010,1.59256005,0.621908231,0.045403703,AAA-ATPase 1 [Source:NCBI gene (formerly Entrezgene);Acc:833998],AATP1
104422568,AT5G40030,-2.511986653,0.56416495,0.000114775,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834000],AT5G40030
104422570,AT3G28455,-1.619419385,0.300316247,1.66E-06,CLAVATA3/ESR-RELATED 25 [Source:NCBI gene (formerly Entrezgene);Acc:822475],CLE25
104422573,AT3G28370,-1.688236862,0.662022101,0.046469877,spindle assembly checkpoint component [Source:NCBI gene (formerly Entrezgene);Acc:822466],AT3G28370
104422605,AT3G08970,1.158234811,0.284701656,0.000512772,DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:820049],ATERDJ3A
104422606,AT5G14780,3.905200247,0.42804365,2.28E-17,formate dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:831330],FDH
104422607,AT5G14780,2.857674471,0.391899136,2.48E-11,formate dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:831330],FDH
104422608,AT3G27960,-1.265453109,0.202982831,1.81E-08,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822420],KLCR2
104422626,AT5G14570,1.338757994,0.505363992,0.036949861,high affinity nitrate transporter 2.7 [Source:NCBI gene (formerly Entrezgene);Acc:831308],NRT2.7
104422632,AT3G01570,7.457481785,1.318432231,4.34E-07,Oleosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:821106],AT3G01570
104422635,AT3G27640,-1.726029675,0.349847383,1.45E-05,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822386],AT3G27640
104422646,AT2G30130,-1.119476781,0.339009512,0.006513366,Lateral organ boundaries (LOB) domain family protein [Source:NCBI gene (formerly Entrezgene);Acc:817565],ASL5
104422647,AT5G14510,-1.402299117,0.390489881,0.002665749,ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831302],AT5G14510
104422660,AT1G67750,-1.966516006,0.307432806,7.14E-09,Pectate lyase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843100],AT1G67750
104422661,AT5G14360,-1.162461473,0.349519346,0.006069299,Ubiquitin-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831287],AT5G14360
104422667,AT3G27350,-1.863627055,0.280957382,1.73E-09,transcriptional regulator ATRX-like protein [Source:NCBI gene (formerly Entrezgene);Acc:822356],AT3G27350
104422675,AT1G13440,-1.677300724,0.317287081,2.77E-06,glyceraldehyde-3-phosphate dehydrogenase C2 [Source:NCBI gene (formerly Entrezgene);Acc:837904],GAPC2
104422695,AT3G01810,-1.069977453,0.255906818,0.000334095,EEIG1/EHBP1 protein amino-terminal domain protein [Source:NCBI gene (formerly Entrezgene);Acc:821073],AT3G01810
104422700,AT5G14180,-1.496239482,0.255085996,1.41E-07,Myzus persicae-induced lipase 1 [Source:NCBI gene (formerly Entrezgene);Acc:831268],MPL1
104422705,AT3G27150,3.731290503,0.430242552,9.86E-16,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822334],AT3G27150
104422707,AT3G27120,-1.235536426,0.268277588,6.09E-05,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:822331],AT3G27120
104422729,AT3G51000,1.431444702,0.396334805,0.002488728,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:824264],AT3G51000
104422732,AT4G36380,1.183923395,0.223013192,2.49E-06,Cytochrome P450 superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829790],ROT3
104422739,AT4G36220,-1.473676686,0.29185457,8.65E-06,ferulic acid 5-hydroxylase 1 [Source:NCBI gene (formerly Entrezgene);Acc:829779],FAH1
104422745,AT3G51150,-1.650875717,0.358072555,5.97E-05,ATP binding microtubule motor family protein [Source:NCBI gene (formerly Entrezgene);Acc:824279],AT3G51150
104422762,AT4G36010,1.554313992,0.617695199,0.049992949,Pathosis-related thaumatin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829757],AT4G36010
104422764,AT5G24360,-1.744241764,0.538780721,0.007871692,inositol requiring 1-1 [Source:NCBI gene (formerly Entrezgene);Acc:832507],IRE1-1
104422769,AT4G34950,-2.042196359,0.561567441,0.002298203,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829647],AT4G34950
104422784,AT3G51290,-1.485838362,0.414800236,0.002740591,"pyridoxal-phosphate-dependent serine hydroxymethyltransferase, putative (DUF632) [Source:NCBI gene (formerly Entrezgene);Acc:824292]",AT3G51290
104422786,AT3G51290,-1.295409706,0.196465734,2.19E-09,"pyridoxal-phosphate-dependent serine hydroxymethyltransferase, putative (DUF632) [Source:NCBI gene (formerly Entrezgene);Acc:824292]",AT3G51290
104422789,AT4G35930,-1.555316121,0.364202085,0.000237451,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:829748],FBS4
104422797,AT3G51325,-1.532595737,0.24608019,1.88E-08,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745959],AT3G51325
104422798,AT4G35900,1.29016066,0.39585564,0.007385915,Basic-leucine zipper (bZIP) transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:829744],FD
104422800,AT5G42180,-1.811459451,0.408806681,0.000125489,Peroxidase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834223],PER64
104422803,AT4G35830,2.813888846,0.764189735,0.001979684,aconitase 1 [Source:NCBI gene (formerly Entrezgene);Acc:829737],ACO1
104422819,AT5G60060,1.02221305,0.270227174,0.001407083,F-box SKIP23-like protein (DUF295) [Source:NCBI gene (formerly Entrezgene);Acc:836128],AT5G60060
104422823,AT3G12500,4.186735027,0.613455477,5.45E-10,basic chitinase [Source:NCBI gene (formerly Entrezgene);Acc:820429],HCHIB
104422827,AT3G51430,1.988608972,0.538490262,0.001914141,Calcium-dependent phosphotriesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:824306],YLS2
104422835,AT1G76310,-1.843817481,0.434791694,0.000266888,CYCLIN B2;4 [Source:NCBI gene (formerly Entrezgene);Acc:843964],CYCB2;4
104422838,AT4G35560,1.286482623,0.444411074,0.020169185,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829708],DAW1
104422877,AT1G14130,1.407326435,0.243641771,2.28E-07,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837972],AT1G14130
104422889,AT1G53820,-1.516266013,0.285190625,2.40E-06,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841819],AT1G53820
104422911,AT3G14172,-1.532633428,0.243241444,1.24E-08,GPI-anchored adhesin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:5007999],AT3G14172
104422918,AT5G25170,-1.137623404,0.230657514,1.46E-05,PPPDE putative thiol peptidase family protein [Source:NCBI gene (formerly Entrezgene);Acc:832588],AT5G25170
104422924,AT1G73630,-1.400827135,0.490846574,0.02236585,EF hand calcium-binding protein family [Source:NCBI gene (formerly Entrezgene);Acc:843697],AT1G73630
104422933,AT4G23160,1.073769785,0.317162188,0.005060481,cysteine-rich RECEPTOR-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:828415],CRK8
104422936,AT1G73620,-2.699742466,0.331931213,6.43E-14,Pathosis-related thaumatin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843696],AT1G73620
104422948,AT1G51890,-1.511143991,0.324916232,5.01E-05,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:841616],AT1G51890
104422951,AT4G29270,-1.40892718,0.260083668,1.47E-06,"HAD superfamily, subfamily IIIB acid phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:829048]",AT4G29270
104422958,AT1G48600,-1.206609256,0.346299619,0.003721286,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841281],PMEAMT
104422974,AT1G17410,-1.056887023,0.263123098,0.000617036,Nucleoside diphosphate kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838313],AT1G17410
104422978,AT1G54120,-1.95635822,0.565257551,0.003997362,,AT1G54120
104422980,AT2G40890,-1.919031909,0.2844939,8.86E-10,"cytochrome P450, family 98, subfamily A, polypeptide 3 [Source:NCBI gene (formerly Entrezgene);Acc:818686]",CYP98A3
104422994,AT1G72660,1.152353079,0.338501492,0.004776757,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843598],AT1G72660
104423019,AT5G56890,-1.631154756,0.499217782,0.00721111,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:835791],AT5G56890
104423027,AT3G13750,1.195595764,0.421449406,0.023340116,beta galactosidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:820584],BGAL1
104423031,AT3G13690,-2.508273096,0.59849905,0.000321799,kinase with adenine nucleotide alpha hydrolases-like domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:820578],AT3G13690
104423047,AT3G21310,-1.420235968,0.386323184,0.002018685,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:821685]",AT3G21310
104423056,AT3G21340,-1.60464186,0.253716449,1.09E-08,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:821688],AT3G21340
104423066,AT5G51260,-1.0095869,0.326217694,0.011788144,"HAD superfamily, subfamily IIIB acid phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:835200]",AT5G51260
104423074,AT3G21360,1.591519793,0.425072559,0.001604889,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821690],AT3G21360
104423075,AT4G12540,-1.524469403,0.346576264,0.000142627,,AT4G12540
104423076,AT5G47390,2.35567998,0.379414106,2.09E-08,myb-like transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:834786],AT5G47390
104423083,AT4G32890,-1.777165869,0.435696141,0.000493347,GATA transcription factor 9 [Source:NCBI gene (formerly Entrezgene);Acc:829425],GATA9
104423090,AT3G16190,1.32583711,0.294563526,9.40E-05,Isochorismatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:820865],AT3G16190
104423104,AT1G79890,-1.37219384,0.525522675,0.04042372,RAD3-like DNA-binding helicase protein [Source:NCBI gene (formerly Entrezgene);Acc:844328],AT1G79890
104423107,AT3G16060,-1.113193138,0.233836601,3.13E-05,ATP binding microtubule motor family protein [Source:NCBI gene (formerly Entrezgene);Acc:820851],AT3G16060
104423108,AT1G79900,-2.63801941,0.841131028,0.010523804,Mitochondrial substrate carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:844329],BAC2
104423127,AT1G52360,3.266679405,1.120825828,0.019164243,"Coatomer, beta' subunit [Source:NCBI gene (formerly Entrezgene);Acc:841666]",AT1G52360
104423131,AT1G80440,2.347899342,0.456460242,5.49E-06,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844383],AT1G80440
104423133,AT1G80440,4.807856082,0.728974511,2.17E-09,Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844383],AT1G80440
104423146,AT3G15550,-1.802521362,0.328289509,1.02E-06,trichohyalin [Source:NCBI gene (formerly Entrezgene);Acc:820794],AT3G15550
104423152,AT5G25430,2.331214675,0.808189203,0.020681946,HCO3- transporter family [Source:NCBI gene (formerly Entrezgene);Acc:832617],AT5G25430
104423180,AT3G15850,-1.691673398,0.308916526,1.10E-06,fatty acid desaturase 5 [Source:NCBI gene (formerly Entrezgene);Acc:820828],FAD5
104423181,AT3G15880,-1.912384388,0.601450917,0.009277315,WUS-interacting protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:820831],WSIP2
104423203,AT1G80570,1.11758549,0.188376326,9.80E-08,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:844396],AT1G80570
104423212,AT1G80760,-2.158796444,0.711760204,0.013973614,NOD26-like intrinsic protein 6;1 [Source:NCBI gene (formerly Entrezgene);Acc:844415],NIP6;1
104423216,AT4G31880,-1.562796164,0.592912421,0.038160533,transcriptional regulator [Source:NCBI gene (formerly Entrezgene);Acc:829318],AT4G31880
104423225,AT1G15950,-1.026687244,0.110864905,6.99E-18,cinnamoyl coa reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:838165],CCR1
104423238,AT5G48930,-1.120533932,0.156261279,5.68E-11,hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase [Source:NCBI gene (formerly Entrezgene);Acc:834951],HCT
104423239,AT3G12580,4.939161627,0.924919841,2.14E-06,heat shock protein 70 [Source:NCBI gene (formerly Entrezgene);Acc:820438],HSP70
104423243,AT1G79720,-2.404277432,0.351143286,4.78E-10,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:844311],AT1G79720
104423245,AT1G16070,-1.504766637,0.393588467,0.001222767,tubby like protein 8 [Source:NCBI gene (formerly Entrezgene);Acc:838177],TLP8
104423253,AT1G16880,-1.019109079,0.181993945,5.84E-07,uridylyltransferase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:838259],ACR11
104423256,AT1G79740,-1.600951413,0.469579337,0.004703414,hAT transposon superfamily [Source:NCBI gene (formerly Entrezgene);Acc:844313],AT1G79740
104423274,AT3G20260,-2.099910593,0.327976048,6.90E-09,DUF1666 family protein (DUF1666) [Source:NCBI gene (formerly Entrezgene);Acc:821570],AT3G20260
104423283,AT2G25940,-1.24472361,0.296445436,0.000312975,alpha-vacuolar processing enzyme [Source:NCBI gene (formerly Entrezgene);Acc:817135],ALPHA-VPE
